subj,prop,obj,question,answers_list,s_pop,o_pop
The Thorn in the Heart,genre,documentary film,What genre is The Thorn in the Heart?,"['documentary film', 'documentary movie', 'doc', 'film documentary', 'motion picture documentary', 'documentary', 'factual film']",215,42565
Nevada,genre,Western film,What genre is Nevada?,"['Western film', 'western film', 'western genre', 'Western']",452,2183
André Duchesne,genre,experimental music,What genre is André Duchesne?,"['experimental music', 'Experimental']",95,18371
Memorial,genre,jazz,What genre is Memorial?,"['jazz', 'jazz music', 'jass', 'jas', 'jaz', 'Jazz']",237,100802
ARB,genre,rock music,What genre is ARB?,"['rock music', 'rock and roll', 'rock', 'Rock']",393,140450
Bryan Spring,genre,jazz,What genre is Bryan Spring?,"['jazz', 'jazz music', 'jass', 'jas', 'jaz', 'Jazz']",142,100802
Elizabeth Davis,genre,Riot grrrl,What genre is Elizabeth Davis?,"['Riot grrrl', 'Riot Grrrl']",116,23494
Dogs,genre,rock music,What genre is Dogs?,"['rock music', 'rock and roll', 'rock', 'Rock']",270,140450
Arthur William Devis,genre,history painting,What genre is Arthur William Devis?,"['history painting', 'historical painting', 'historical art']",339,7259
Demon,genre,science fiction,What genre is Demon?,"['science fiction', 'SF', 'scifi', 'sci Fi', 'sci-Fi', 'science-fiction', 'sci fi', 'sciencefiction']",401,155784
Frames,genre,progressive rock,What genre is Frames?,"['progressive rock', 'prog-rock', 'prog', 'classical rock', 'symphonic rock', 'art rock', 'progressive pop', 'prog rock', 'Progressive Rock']",374,66527
Point of View,genre,short story,What genre is Point of View?,"['short story', 'tale', 'pripovijetka']",177,60371
Operation Sabotage,genre,interactive fiction,What genre is Operation Sabotage?,"['interactive fiction', 'text adventure', 'interactive book video game', 'Interactive eBooks', 'Interactive fiction']",52,10373
The Resort,genre,reality television,What genre is The Resort?,"['reality television', 'reality TV', 'reality television program', 'reality TV program', 'reality television show', 'television reality program', 'television reality show', 'TV reality program', 'TV reality show']",220,40906
Released,genre,progressive rock,What genre is Released?,"['progressive rock', 'prog-rock', 'prog', 'classical rock', 'symphonic rock', 'art rock', 'progressive pop', 'prog rock', 'Progressive Rock']",330,66527
Rides,genre,reality television,What genre is Rides?,"['reality television', 'reality TV', 'reality television program', 'reality TV program', 'reality television show', 'television reality program', 'television reality show', 'TV reality program', 'TV reality show']",214,40906
Darkness,genre,hard rock,What genre is Darkness?,['hard rock'],168,77166
Blackbirds at Bangpleng,genre,horror film,What genre is Blackbirds at Bangpleng?,"['horror film', 'horror movie']",222,90942
The Gap,genre,comedy-drama,What genre is The Gap?,"['comedy-drama', 'dramedy', 'comedic drama', 'tragicomedy', 'seriocomedy', 'comedy drama', 'dramatic comedy', 'Comedy-drama, dramedy']",80,36819
Dark Matter,genre,science fiction,What genre is Dark Matter?,"['science fiction', 'SF', 'scifi', 'sci Fi', 'sci-Fi', 'science-fiction', 'sci fi', 'sciencefiction']",50,155784
The Amazing Catfish,genre,comedy-drama,What genre is The Amazing Catfish?,"['comedy-drama', 'dramedy', 'comedic drama', 'tragicomedy', 'seriocomedy', 'comedy drama', 'dramatic comedy', 'Comedy-drama, dramedy']",144,36819
Bust-a-Move Pocket,genre,puzzle video game,What genre is Bust-a-Move Pocket?,"['puzzle video game', 'puzzle game', 'Puzzle video games', 'puzzle/jigsaw video game']",192,26431
Chaotic,genre,novella,What genre is Chaotic?,['novella'],55,22512
terminal,genre,rock music,What genre is terminal?,"['rock music', 'rock and roll', 'rock', 'Rock']",109,140450
Flare,genre,J-pop,What genre is Flare?,"['J-pop', 'Japanese pop', 'jpop']",76,31446
A Brokedown Melody,genre,documentary film,What genre is A Brokedown Melody?,"['documentary film', 'documentary movie', 'doc', 'film documentary', 'motion picture documentary', 'documentary', 'factual film']",310,42565
Miracle,genre,jazz,What genre is Miracle?,"['jazz', 'jazz music', 'jass', 'jas', 'jaz', 'Jazz']",101,100802
Brain Slaves,genre,neo-psychedelia,What genre is Brain Slaves?,['neo-psychedelia'],90,11621
The Marriage,genre,sitcom,What genre is The Marriage?,"['sitcom', 'situational comedy', 'situation comedy']",265,47889
Addicted to Beauty,genre,reality television,What genre is Addicted to Beauty?,"['reality television', 'reality TV', 'reality television program', 'reality TV program', 'reality television show', 'television reality program', 'television reality show', 'TV reality program', 'TV reality show']",156,40906
Emmeline,genre,Gothic fiction,What genre is Emmeline?,"['Gothic fiction', 'Gothic novel', 'Gothic literature']",433,62357
The New World,genre,documentary film,What genre is The New World?,"['documentary film', 'documentary movie', 'doc', 'film documentary', 'motion picture documentary', 'documentary', 'factual film']",89,42565
Never Better,genre,sitcom,What genre is Never Better?,"['sitcom', 'situational comedy', 'situation comedy']",234,47889
McKendree Long,genre,portrait,What genre is McKendree Long?,"['portrait', 'portraiture', 'portrait art']",57,14587
Drill,genre,industrial rock,What genre is Drill?,['industrial rock'],47,11267
Genesis,genre,folk rock,What genre is Genesis?,"['folk rock', 'Folk Rock']",368,35346
Settle,genre,indie rock,What genre is Settle?,"['indie rock', 'Independent rock', 'Indie Rock']",69,68145
Revelations,genre,soap opera,What genre is Revelations?,"['soap opera', 'soap', 'soapie', 'soapopera']",407,50456
Free & Easy,genre,J-pop,What genre is Free & Easy?,"['J-pop', 'Japanese pop', 'jpop']",157,31446
Target,genre,Western film,What genre is Target?,"['Western film', 'western film', 'western genre', 'Western']",116,2183
Meltdown,genre,experimental rock,What genre is Meltdown?,"['experimental rock', 'avant-garde rock', 'avant rock']",151,14255
Needle,genre,science fiction,What genre is Needle?,"['science fiction', 'SF', 'scifi', 'sci Fi', 'sci-Fi', 'science-fiction', 'sci fi', 'sciencefiction']",186,155784
The Divorce,genre,comedy film,What genre is The Divorce?,"['comedy film', 'comedy movie']",227,36816
Magic Music,genre,J-pop,What genre is Magic Music?,"['J-pop', 'Japanese pop', 'jpop']",53,31446
Voyage,genre,synth-pop,What genre is Voyage?,"['synth-pop', 'synthesizer pop', 'techno-pop', 'synthpop']",94,67724
Bullet,genre,horror literature,What genre is Bullet?,"['horror literature', 'mystery fiction', 'mysteries', 'mystery', 'mystery books', 'mystery literature', 'detective and mystery fiction']",298,291
Hand Held,genre,documentary film,What genre is Hand Held?,"['documentary film', 'documentary movie', 'doc', 'film documentary', 'motion picture documentary', 'documentary', 'factual film']",443,42565
At Sunset,genre,pop rock,What genre is At Sunset?,"['pop rock', 'pop/rock', 'pop-rock']",207,85003
Bakkushan,genre,indie rock,What genre is Bakkushan?,"['indie rock', 'Independent rock', 'Indie Rock']",264,68145
The Flip,genre,jazz,What genre is The Flip?,"['jazz', 'jazz music', 'jass', 'jas', 'jaz', 'Jazz']",257,100802
Marty Marsala,genre,jazz,What genre is Marty Marsala?,"['jazz', 'jazz music', 'jass', 'jas', 'jaz', 'Jazz']",67,100802
Qian Du,genre,landscape art,What genre is Qian Du?,"['landscape art', 'landscape painting', 'landscape']",90,13966
Crime as Forgiven by Against Me!,genre,folk punk,What genre is Crime as Forgiven by Against Me!?,"['folk punk', 'rogue folk', 'Folk Punk']",293,7411
Hate,genre,extreme metal,What genre is Hate?,"['black metal', 'Black Metal', 'extreme metal', 'death metal', 'Death Metal']",348,15215
House Guest,genre,reality television,What genre is House Guest?,"['reality television', 'reality TV', 'reality television program', 'reality TV program', 'reality television show', 'television reality program', 'television reality show', 'TV reality program', 'TV reality show']",117,40906
Deadline,genre,thriller,What genre is Deadline?,"['thriller', 'suspense', 'thriller television program', 'thriller TV program', 'thriller television show', 'thriller TV show', 'suspense television program', 'suspense TV program', 'suspense television show', 'suspense TV show']",208,144161
Get Happy with the Randy Weston Trio,genre,jazz,What genre is Get Happy with the Randy Weston Trio?,"['jazz', 'jazz music', 'jass', 'jas', 'jaz', 'Jazz']",121,100802
Blind Spot,genre,mystery film,What genre is Blind Spot?,"['mystery film', 'thriller', 'suspense', 'thriller television program', 'thriller TV program', 'thriller television show', 'thriller TV show', 'suspense television program', 'suspense TV program', 'suspense television show', 'suspense TV show']",196,16723
C. L. Blast,genre,soul music,What genre is C. L. Blast?,"['soul music', 'soul', 'Soul']",146,93255
Jacks,genre,psychedelic rock,What genre is Jacks?,"['psychedelic rock', 'acid rock', 'psy rock', 'psyrock', 'psychedelia']",242,43484
To Mother,genre,J-pop,What genre is To Mother?,"['J-pop', 'Japanese pop', 'jpop']",83,31446
The Splatters,genre,puzzle video game,What genre is The Splatters?,"['puzzle video game', 'puzzle game', 'Puzzle video games', 'puzzle/jigsaw video game']",438,26431
Mountains,genre,blues rock,What genre is Mountains?,"['blues rock', 'Blues Rock']",123,29263
Worse Things Waiting,genre,horror literature,What genre is Worse Things Waiting?,"['fantasy', 'fantasy fiction', 'horror literature']",207,291
Ylana of Callisto,genre,science fiction,What genre is Ylana of Callisto?,"['science fiction', 'SF', 'scifi', 'sci Fi', 'sci-Fi', 'science-fiction', 'sci fi', 'sciencefiction']",107,155784
Protocol,genre,pop music,What genre is Protocol?,"['pop music', 'pop', 'Pop']",217,286065
Prototype,genre,science fiction film,What genre is Prototype?,"['science fiction film', 'sci-fi film', 'science fiction movie', 'sci-fi movie', 'scifi film', 'scifi movie', 'sci fi film', 'sci fi movie', 'scifi-film', 'scifi']",449,41996
Magic,genre,soap opera,What genre is Magic?,"['soap opera', 'soap', 'soapie', 'soapopera']",99,50456
The Millions,genre,alternative rock,What genre is The Millions?,"['alternative rock', 'alternative music', 'alt-rock', 'alternative', 'alt rock', 'pop/rock', 'Alternative Rock']",134,138822
Conflict,genre,anthology series,What genre is Conflict?,['anthology series'],411,45932
The Once,genre,traditional music,What genre is The Once?,"['traditional music', 'traditional folk music', 'popular melody', 'folk music', 'music traditions', 'musical folklore']",440,2952
The Mushroom,genre,crime film,What genre is The Mushroom?,"['crime film', 'crime movie']",179,28275
Gasoline,genre,crime film,What genre is Gasoline?,"['crime film', 'crime movie']",248,28275
Steal This Record,genre,punk rock,What genre is Steal This Record?,"['punk rock', 'punk', 'punk music']",239,83910
Friday Night,genre,country music,What genre is Friday Night?,"['country music', 'country and western', 'country & western', 'country', 'Nashville sound']",258,91093
Jun,genre,rock music,What genre is Jun?,"['rock music', 'rock and roll', 'rock', 'Rock']",239,140450
Pictures from an Institution,genre,satire,What genre is Pictures from an Institution?,['satire'],447,59374
The Harrowing,genre,horror literature,What genre is The Harrowing?,['horror literature'],87,291
Picture This,genre,reality television,What genre is Picture This?,"['reality television', 'reality TV', 'reality television program', 'reality TV program', 'reality television show', 'television reality program', 'television reality show', 'TV reality program', 'TV reality show']",102,40906
Charles Hayter,genre,portrait,What genre is Charles Hayter?,"['portrait', 'portraiture', 'portrait art']",281,14587
Impact,genre,thriller,What genre is Impact?,"['thriller', 'suspense', 'thriller television program', 'thriller TV program', 'thriller television show', 'thriller TV show', 'suspense television program', 'suspense TV program', 'suspense television show', 'suspense TV show', 'science fiction', 'SF', 'scifi', 'sci Fi', 'sci-Fi', 'science-fiction', 'sci fi', 'sciencefiction']",362,144161
Trilogy,genre,trance,What genre is Trilogy?,"['trance', 'trance music', 'Trance']",318,20220
First Love,genre,short story,What genre is First Love?,"['short story', 'tale', 'pripovijetka']",237,60371
Yellow,genre,J-pop,What genre is Yellow?,"['J-pop', 'Japanese pop', 'jpop']",56,31446
Hara,genre,public art,What genre is Hara?,['public art'],87,5578
Nightdreamers,genre,novella,What genre is Nightdreamers?,['novella'],63,22512
You Again,genre,country music,What genre is You Again?,"['country music', 'country and western', 'country & western', 'country', 'Nashville sound']",136,91093
The Song of the Suburbs,genre,musical film,What genre is The Song of the Suburbs?,"['musical film', 'musical movie']",75,22860
Exposed,genre,pop music,What genre is Exposed?,"['pop music', 'pop', 'Pop']",476,286065
Shaping Up,genre,sitcom,What genre is Shaping Up?,"['sitcom', 'situational comedy', 'situation comedy']",239,47889
Underground,genre,documentary film,What genre is Underground?,"['documentary film', 'documentary movie', 'doc', 'film documentary', 'motion picture documentary', 'documentary', 'factual film']",396,42565
Red,genre,Cantopop,What genre is Red?,"['Cantopop', 'Cantonese popular music', 'HK-pop', 'Hong Kong pop music']",251,9657
Mission,genre,progressive rock,What genre is Mission?,"['progressive rock', 'prog-rock', 'prog', 'classical rock', 'symphonic rock', 'art rock', 'progressive pop', 'prog rock', 'Progressive Rock']",405,66527
The Club,genre,reality television,What genre is The Club?,"['reality television', 'reality TV', 'reality television program', 'reality TV program', 'reality television show', 'television reality program', 'television reality show', 'TV reality program', 'TV reality show']",64,40906
Winter: Five Windows on the Season,genre,non-fiction,What genre is Winter: Five Windows on the Season?,"['non-fiction', 'nonfiction', 'non fiction']",121,17737
Ugonna Okegwo,genre,jazz,What genre is Ugonna Okegwo?,"['jazz', 'jazz music', 'jass', 'jas', 'jaz', 'Jazz']",249,100802
Marble,genre,pop music,What genre is Marble?,"['pop music', 'pop', 'Pop']",191,286065
Eddie & the Gang with No Name,genre,young adult literature,What genre is Eddie & the Gang with No Name?,"['young adult literature', 'juvenile fiction', 'YA', 'youth literature', 'juvenile literature', 'young adult fiction', 'YA literature', 'YA fiction']",66,34659
Koko ni Iruzee!,genre,J-pop,What genre is Koko ni Iruzee!?,"['J-pop', 'Japanese pop', 'jpop']",78,31446
love for,genre,J-pop,What genre is love for?,"['J-pop', 'Japanese pop', 'jpop']",253,31446
The Web,genre,anthology series,What genre is The Web?,['anthology series'],355,45932
Edgar Battle,genre,jazz,What genre is Edgar Battle?,"['jazz', 'jazz music', 'jass', 'jas', 'jaz', 'Jazz']",141,100802
Waves,genre,jazz,What genre is Waves?,"['jazz', 'jazz music', 'jass', 'jas', 'jaz', 'Jazz']",233,100802
Cut,genre,mandopop,What genre is Cut?,"['mandopop', 'Mandarin popular music', 'mandapop']",57,7854
Spring Is Here,genre,musical film,What genre is Spring Is Here?,"['musical film', 'musical movie']",250,22860
Stories,genre,J-pop,What genre is Stories?,"['J-pop', 'Japanese pop', 'jpop']",61,31446
Need to Believe,genre,hard rock,What genre is Need to Believe?,['hard rock'],290,77166
Money,genre,rhythm and blues,What genre is Money?,"['rhythm and blues', 'R&B', 'RnB', 'RNB', 'R and B', 'R & B']",163,60774
The Ethos Effect,genre,science fiction,What genre is The Ethos Effect?,"['science fiction', 'SF', 'scifi', 'sci Fi', 'sci-Fi', 'science-fiction', 'sci fi', 'sciencefiction']",122,155784
Most of Me,genre,non-fiction,What genre is Most of Me?,"['non-fiction', 'nonfiction', 'non fiction']",44,17737
I Lost My Heart in Heidelberg,genre,musical film,What genre is I Lost My Heart in Heidelberg?,"['musical film', 'musical movie']",98,22860
VS,genre,J-pop,What genre is VS?,"['J-pop', 'Japanese pop', 'jpop']",61,31446
Anyone Else,genre,country music,What genre is Anyone Else?,"['country music', 'country and western', 'country & western', 'country', 'Nashville sound']",102,91093
Seven Veils,genre,ambient music,What genre is Seven Veils?,"['ambient music', 'ambient', 'Ambient']",65,26089
The Bad One,genre,musical film,What genre is The Bad One?,"['musical film', 'musical movie']",158,22860
Pulse,genre,music video game,What genre is Pulse?,"['music video game', 'music game', 'music and rhythm video games']",131,9586
Positive,genre,documentary film,What genre is Positive?,"['documentary film', 'documentary movie', 'doc', 'film documentary', 'motion picture documentary', 'documentary', 'factual film']",160,42565
The Carpenter,genre,symphonic metal,What genre is The Carpenter?,['symphonic metal'],397,12928
