subj,prop,obj,question,answers_list
Sar Giz,country,Iran,In what country is Sar Giz?,"['Iran', 'Islamic Republic of Iran', 'Persia', 'ir', 'Islamic Rep. Iran', '🇮🇷']"
Plus,author,Joseph McElroy,Who is the author of Plus?,"['Joseph McElroy', 'Joseph Prince McElroy']"
Têbo,country,People's Republic of China,In what country is Têbo?,"[""People's Republic of China"", 'China', 'CN', 'PR China', 'PRC', 'cn', 'CHN', '🇨🇳', 'China PR', 'Mainland China']"
Awe,country,United States of America,In what country is Awe?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]"
Jamie White,sport,association football,What sport does Jamie White play?,"['association football', 'football', 'soccer']"
Another Life,director,Emmanuel Mouret,Who was the director of Another Life?,['Emmanuel Mouret']
The Great World and the Small: More Tales of the Ominous and Magical,author,Darrell Schweitzer,Who is the author of The Great World and the Small: More Tales of the Ominous and Magical?,"['Darrell Schweitzer', 'Darrell Charles Schweitzer']"
David Mills,religion,atheism,What is the religion of David Mills?,"['atheism', 'unbelief']"
Palmetto Leaves,author,Harriet Beecher Stowe,Who is the author of Palmetto Leaves?,"['Harriet Beecher Stowe', 'Christopher Crowfield', 'Harriet Elizabeth Beecher Stowe', 'Enrieta Elizabeth Beecher Stowe', 'Harriet Elizabeth Beecher', 'Harriet Elisabeth Beecher Stowe']"
Atsushi Kaneko,occupation,mangaka,What is Atsushi Kaneko's occupation?,"['mangaka', 'manga artist']"
Freak,producer,David Guetta,Who was the producer of Freak?,"['David Guetta', 'Pierre David Guetta', 'Jack Back']"
Men and Women,screenwriter,Walter Hugo Khouri,Who was the screenwriter for Men and Women?,['Walter Hugo Khouri']
Russell Stokes,occupation,politician,What is Russell Stokes's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
False Light,director,Theo van Gogh,Who was the director of False Light?,['Theo van Gogh']
Mikael Eriksson,place of birth,Karlskoga,In what city was Mikael Eriksson born?,['Karlskoga']
Less Than the Dust,producer,Mary Pickford,Who was the producer of Less Than the Dust?,"['Mary Pickford', 'Gladys Marie Smith', 'Gladys Louise Smith', 'Gladys Mary Moore']"
Family,director,Takashi Miike,Who was the director of Family?,['Takashi Miike']
Princess Cristina of Bourbon-Two Sicilies,father,Francis II of the Two Sicilies,Who is the father of Princess Cristina of Bourbon-Two Sicilies?,"['Francis II of the Two Sicilies', 'Francis II']"
Ciucurul Orbului River,country,Romania,In what country is Ciucurul Orbului River?,"['Romania', 'Roumania', 'Rumania', 'România', 'ro', '🇷🇴']"
Arizona,director,Albert Parker,Who was the director of Arizona?,"['Douglas Fairbanks', 'Douglas Fairbanks, Sr.', 'Douglas Elton Thomas Ullman', 'Douglas Ullman', 'Doug Fairbanks', 'Albert Parker']"
Ricardo Watty Urquidi,religion,Catholic Church,What is the religion of Ricardo Watty Urquidi?,"['Catholic Church', 'Roman Catholic Church', 'Church', 'Roman Apostolic Catholic Church']"
The Squirrel Wife,author,Philippa Pearce,Who is the author of The Squirrel Wife?,"['Philippa Pearce', 'Ann Philippa Pearce']"
Un'altra vita,screenwriter,Carlo Mazzacurati,Who was the screenwriter for Un'altra vita?,['Carlo Mazzacurati']
Union of Catholic Asian News,religion,Catholic Church,What is the religion of Union of Catholic Asian News?,"['Catholic Church', 'Roman Catholic Church', 'Church', 'Roman Apostolic Catholic Church']"
Laishevo,capital of,Laishevsky District,What is Laishevo the capital of?,['Laishevsky District']
Dixie Union,father,Dixieland Band,Who is the father of Dixie Union?,['Dixieland Band']
Deodara,country,India,In what country is Deodara?,"['India', 'Bharat', 'Hindustan', 'Bharatvarsh', 'in', 'IN', 'Republic of India', '🇮🇳', 'IND', 'Aryavratt']"
Centre,capital,Ouagadougou,What is the capital of Centre?,['Ouagadougou']
El honorable Señor Valdez,genre,telenovela,What genre is El honorable Señor Valdez?,"['telenovela', 'Spanish soap opera']"
The Passage,producer,Stephen Dorff,Who was the producer of The Passage?,['Stephen Dorff']
Barrie Aitchison,sport,association football,What sport does Barrie Aitchison play?,"['association football', 'football', 'soccer']"
Earl,country,United States of America,In what country is Earl?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]"
Trail,director,Luis Moglia Barth,Who was the director of Trail?,['Luis Moglia Barth']
Vladislav Matviyenko,sport,association football,What sport does Vladislav Matviyenko play?,"['association football', 'football', 'soccer']"
Robert J. Fox,religion,Catholic Church,What is the religion of Robert J. Fox?,"['Catholic Church', 'Roman Catholic Church', 'Church', 'Roman Apostolic Catholic Church']"
The Raid,director,Ching Siu-tung,Who was the director of The Raid?,['Ching Siu-tung']
Red,genre,Cantopop,What genre is Red?,"['Cantopop', 'Cantonese popular music', 'HK-pop', 'Hong Kong pop music']"
The Last Days,author,Scott Westerfeld,Who is the author of The Last Days?,"['Scott Westerfeld', 'Scott David Westerfeld']"
The Culture of Collaboration,author,Evan Rosen,Who is the author of The Culture of Collaboration?,['Evan Rosen']
Northeast,screenwriter,Juan Diego Solanas,Who was the screenwriter for Northeast?,"['Juan Diego Solanas', 'Juan Solanas']"
Michael II Apafi,father,Michael I Apafi,Who is the father of Michael II Apafi?,['Michael I Apafi']
Demon,genre,science fiction,What genre is Demon?,"['science fiction', 'SF', 'scifi', 'sci Fi', 'sci-Fi', 'science-fiction', 'sci fi', 'sciencefiction']"
Mario Talavera,genre,popular music,What genre is Mario Talavera?,"['popular music', 'pop music', 'pop']"
Pushmo World,genre,puzzle video game,What genre is Pushmo World?,"['puzzle video game', 'puzzle game', 'Puzzle video games', 'puzzle/jigsaw video game']"
The Whole Family,author,Alice Brown,Who is the author of The Whole Family?,"['Henry James', 'Henricus James', 'Alice Brown', 'William Dean Howells', 'William Howells', 'Elizabeth Jordan', 'Elizabeth Garver Jordan']"
In Your Eyes,genre,romance film,What genre is In Your Eyes?,"['romance film', 'romance genre', 'romantic film']"
Alfred Jefferis Turner,place of birth,Guangzhou,In what city was Alfred Jefferis Turner born?,"['Guangzhou', 'Canton', 'Kwangchow', 'Kwongchow']"
Legs,author,William Kennedy,Who is the author of Legs?,"['William Kennedy', 'William Joseph Kennedy']"
The Wall,genre,documentary film,What genre is The Wall?,"['documentary film', 'documentary movie', 'doc', 'film documentary', 'motion picture documentary', 'documentary', 'factual film']"
Blackbirds at Bangpleng,genre,horror film,What genre is Blackbirds at Bangpleng?,"['horror film', 'horror movie']"
Norbert Grund,place of birth,Prague,In what city was Norbert Grund born?,"['Prague', 'Praha', 'Hlavní město Praha', 'City of Prague']"
Crash 'n' Burn,director,Ross McLaren,Who was the director of Crash 'n' Burn?,['Ross McLaren']
Izhar Elias,place of birth,Amsterdam,In what city was Izhar Elias born?,"['Amsterdam', 'Mokum', 'Amsterdam, NL', 'Amsterdam, Netherlands', ""A'dam""]"
Arivaldo Alves dos Santos,sport,association football,What sport does Arivaldo Alves dos Santos play?,"['association football', 'football', 'soccer']"
Léon-Lévy Brunswick,place of birth,Paris,In what city was Léon-Lévy Brunswick born?,"['Paris', 'City of Light', 'Paris, France']"
The Wrestling,author,Simon Garfield,Who is the author of The Wrestling?,"['Simon Garfield', 'Simon Frank Garfield']"
Turn to You,producer,Justin Bieber,Who was the producer of Turn to You?,"['Justin Bieber', 'Justin Drew Bieber']"
Barricade,director,Timo Rose,Who was the director of Barricade?,"['Timo Rose', 'King Hannibal']"
Richard Field,religion,Anglicanism,What is the religion of Richard Field?,"['Anglicanism', 'Anglicanism, Anglican Church']"
Alice Walker: Beauty in Truth,director,Pratibha Parmar,Who was the director of Alice Walker: Beauty in Truth?,['Pratibha Parmar']
Alexandra Kitchin,father,George Kitchin,Who is the father of Alexandra Kitchin?,"['George Kitchin', 'George William Kitchin']"
Albert Bates,occupation,lawyer,What is Albert Bates's occupation?,"['lawyer', 'attorney', 'solicitor', 'barrister', 'lawyers']"
Los Tipitos,genre,rock music,What genre is Los Tipitos?,"['rock music', 'rock and roll', 'rock', 'Rock']"
2,genre,pop punk,What genre is 2?,"['pop punk', 'punk-pop', 'pop-punk']"
Afyonkarahisarspor,sport,association football,What sport does Afyonkarahisarspor play?,"['association football', 'football', 'soccer']"
The Arrangement,author,Elia Kazan,Who is the author of The Arrangement?,"['Elia Kazan', 'Elias Kazantzoglou']"
Revelations,screenwriter,Tony Gayton,Who was the screenwriter for Revelations?,['Tony Gayton']
Dee,place of birth,Montreal,In what city was Dee born?,"['Montreal', 'Montréal', 'City of Montreal', 'Montreal, Quebec', 'Ville de Montréal', 'Ville de Montreal']"
Reminiscences,genre,documentary film,What genre is Reminiscences?,"['documentary film', 'documentary movie', 'doc', 'film documentary', 'motion picture documentary', 'documentary', 'factual film']"
Tam Lin,author,Pamela Dean,Who is the author of Tam Lin?,"['Pamela Dean', 'Pamela Collins Dean', 'Pamela Collins Dean Dyer-Bennet']"
Ahead of Time,author,Henry Kuttner,Who is the author of Ahead of Time?,"['Henry Kuttner', 'Smith, Woodrow Wilson']"
Pearl in the Crown,screenwriter,Kazimierz Kutz,Who was the screenwriter for Pearl in the Crown?,"['Kazimierz Kutz', 'Kazimierz Julian Kutz']"
Norma,author,Henrik Ibsen,Who is the author of Norma?,"['Henrik Ibsen', 'Henrik Johan Ibsen', 'Henrich Johan Ibsen', 'Henrich Ibsen']"
Fate,screenwriter,Antonio carglass,Who was the screenwriter for Fate?,"['Zeki Demirkubuz', 'Antonio carglass', 'Carglass']"
Howard,capital of,Miner County,What is Howard the capital of?,"['Miner County', 'Miner County, South Dakota']"
Interference,screenwriter,Roland Pertwee,Who was the screenwriter for Interference?,['Roland Pertwee']
Brake,author,Poul Anderson,Who is the author of Brake?,"['Poul Anderson', 'Poul William Anderson', 'Winston P. Sanders', 'A. A. Craig', 'Michael Karageorge', 'Petronius Arbiter Kingsley', 'P. A. Kingsley']"
Lobos BUAP Premier,sport,association football,What sport does Lobos BUAP Premier play?,"['association football', 'football', 'soccer']"
Jaime de Angulo,place of birth,Paris,In what city was Jaime de Angulo born?,"['Paris', 'City of Light', 'Paris, France']"
Adam Darr,occupation,composer,What is Adam Darr's occupation?,['composer']
Samir Sarsare,sport,association football,What sport does Samir Sarsare play?,"['association football', 'football', 'soccer']"
Louis Perrée,sport,fencing,What sport does Louis Perrée play?,['fencing']
The Bells and Whistles,director,Craig Zisk,Who was the director of The Bells and Whistles?,['Craig Zisk']
The Marriage Circle,producer,Ernst Lubitsch,Who was the producer of The Marriage Circle?,['Ernst Lubitsch']
The Trial,director,Georg Wilhelm Pabst,Who was the director of The Trial?,"['Georg Wilhelm Pabst', 'George Willhelm Pabst']"
Armed,father,Bull Lea,Who is the father of Armed?,['Bull Lea']
I Lost My Heart in Heidelberg,genre,musical film,What genre is I Lost My Heart in Heidelberg?,"['musical film', 'musical movie']"
My Trip Back to the Dark Side,producer,Shane Stanley,Who was the producer of My Trip Back to the Dark Side?,['Shane Stanley']
Battle,genre,indie rock,What genre is Battle?,"['indie rock', 'Independent rock', 'Indie Rock']"
Today,producer,Reza Mirkarimi,Who was the producer of Today?,['Reza Mirkarimi']
The Medium,screenwriter,Gian Carlo Menotti,Who was the screenwriter for The Medium?,['Gian Carlo Menotti']
Valentin Avrorin,place of birth,Tambov,In what city was Valentin Avrorin born?,['Tambov']
Sisters of the Cross and Passion,religion,Catholic Church,What is the religion of Sisters of the Cross and Passion?,"['Catholic Church', 'Roman Catholic Church', 'Church', 'Roman Apostolic Catholic Church']"
Süpercan,genre,action-adventure game,What genre is Süpercan?,"['action-adventure game', 'a-avg', 'action adventure video games']"
How I Spent My Summer Vacation,director,John Fisher,Who was the director of How I Spent My Summer Vacation?,['John Fisher']
Travis Thomas,place of birth,Washington,In what city was Travis Thomas born?,"['Washington', 'Washington, Pennsylvania']"
Frank Allcock,sport,association football,What sport does Frank Allcock play?,"['association football', 'football', 'soccer']"
Run,director,Tom Verica,Who was the director of Run?,"['Tom Verica', 'Thomas Verica']"
Small g: a Summer Idyll,author,Patricia Highsmith,Who is the author of Small g: a Summer Idyll?,"['Patricia Highsmith', 'Mary Patricia Plangman', 'Claire Morgan']"
Operation Sabotage,genre,interactive fiction,What genre is Operation Sabotage?,"['interactive fiction', 'text adventure', 'interactive book video game', 'Interactive eBooks', 'Interactive fiction']"
The Desperate Hours,author,Joseph Hayes,Who is the author of The Desperate Hours?,['Joseph Hayes']
Parking,director,Jacques Demy,Who was the director of Parking?,['Jacques Demy']
Youth,author,Leo Tolstoy,Who is the author of Youth?,"['Leo Tolstoy', 'Tolstoi', 'Tolstoy', 'Lev Nikolaevich, graf Tolstoĭ', 'Lev Nikolayevich, Count Tolstoy', 'Count Lev Tolstoy', 'Leo, graf Tolstoy', 'Lev, Count Tolstoy', 'Lev, graf Tolsztoj', 'Лев Николаевич,', 'c граф Толстой', 'Lew, graf Tolstoi', 'Lev Nikolaevich Tolstoy', 'Lev Tolstoy', 'Count Leo Tolstoy']"
Far East,screenwriter,John Duigan,Who was the screenwriter for Far East?,['John Duigan']
The Singing,author,Alison Croggon,Who is the author of The Singing?,['Alison Croggon']
Afsporet,genre,film noir,What genre is Afsporet?,['film noir']
The Spoilers,producer,Bartlett Cormack,Who was the producer of The Spoilers?,"['Edwin Carewe', 'Bartlett Cormack', 'Edward Bartlett Cormack']"
The Blue Aura,genre,science fiction,What genre is The Blue Aura?,"['science fiction', 'SF', 'scifi', 'sci Fi', 'sci-Fi', 'science-fiction', 'sci fi', 'sciencefiction']"
"The Remarkable Exploits of Lancelot Biggs, Spaceman",genre,science fiction,"What genre is The Remarkable Exploits of Lancelot Biggs, Spaceman?","['science fiction', 'SF', 'scifi', 'sci Fi', 'sci-Fi', 'science-fiction', 'sci fi', 'sciencefiction']"
Idaho,genre,Western film,What genre is Idaho?,"['Western film', 'western film', 'western genre', 'Western']"
Molon Labe,director,Holly Dale,Who was the director of Molon Labe?,['Holly Dale']
Thomas Gifford,occupation,politician,What is Thomas Gifford's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Choir monk,religion,Catholic Church,What is the religion of Choir monk?,"['Catholic Church', 'Roman Catholic Church', 'Church', 'Roman Apostolic Catholic Church']"
The Creator,screenwriter,Albert Dupontel,Who was the screenwriter for The Creator?,['Albert Dupontel']
Javier Suárez,place of birth,Madrid,In what city was Javier Suárez born?,"['Madrid', 'City of Madrid', 'Madrid, Spain']"
New Watch,genre,fantasy,What genre is New Watch?,"['fantasy', 'fantasy fiction']"
Money,genre,rhythm and blues,What genre is Money?,"['rhythm and blues', 'R&B', 'RnB', 'RNB', 'R and B', 'R & B']"
Survivor,composer,Iain James,Who was the composer of Survivor?,"['Adam Powers', 'Adam Hersland Powers', 'Iain James']"
Allison Hirschlag,mother,Julia Barr,Who is the mother of Allison Hirschlag?,"['Julia Barr', 'Julia Rose Buchheit']"
Turin,country,United States of America,In what country is Turin?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]"
Always,author,Karen Joy Fowler,Who is the author of Always?,['Karen Joy Fowler']
New York State Route 157,country,United States of America,In what country is New York State Route 157?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]"
Jim Boyd,occupation,actor,What is Jim Boyd's occupation?,"['journalist', 'journo', 'journalists', 'actor', 'actress', 'actors', 'actresses']"
West,author,Orson Scott Card,Who is the author of West?,"['Orson Scott Card', 'Brian Green', 'Frederick Bliss', 'Byron Walley', 'Scott Richards', 'Dinah Kirkham', 'P.Q. Gump', 'Byron S. Walley']"
Elma Yerburgh,father,Daniel Thwaites,Who is the father of Elma Yerburgh?,['Daniel Thwaites']
Martinez,genre,dansband,What genre is Martinez?,"['dansband', 'Svensktoppsband', 'Svensktoppen band']"
